"seele","Fast|Running|Stable|V2Dir|Valid","United States of America","us","104.53.221.159","9001",true,"104-53-221-159.lightspeed.sntcca.sbcglobal.net"
"titamon3","Exit|Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","Italy","it","178.218.144.18","443",true,"NULL"
"CalyxInstitute14","Exit|Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","United States of America","us","162.247.74.201","443",true,"kunstler.tor-exit.calyxinstitute.org"
"freedomrunner","Fast|Guard|Running|Stable|V2Dir|Valid","United States of America","us","198.98.61.11","9001",true,"NULL"
"skylarkRelay","Fast|HSDir|Running|Stable|V2Dir|Valid","Germany","de","95.111.230.178","443",true,"NULL"
"StarAppsMobley","Fast|Guard|Running|Stable|V2Dir|Valid","Switzerland","ch","195.15.242.99","9001",true,"NULL"
"ckg","Fast|Running|V2Dir|Valid","Chile","cl","186.104.161.181","9001",true,"NULL"
"ForPrivacyNET","Exit|Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","Germany","de","185.220.101.33","10133",true,"tor-exit-33.for-privacy.net"
"dc6jgk11d","Fast|Guard|Running|Stable|V2Dir|Valid","Netherlands","nl","51.15.75.120","444",true,"tor-11c.dc6jgk.de"
"null","Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","Finland","fi","37.16.105.85","9001",true,"NULL"
"namie","Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","Poland","pl","109.241.214.64","443",true,"109241214064.gdansk.vectranet.pl"
"Athena","Fast|Running|V2Dir|Valid","Luxembourg","lu","104.244.79.75","443",true,"tor-relay-athena.greektor.net"
"eisbaer","Exit|Fast|Running|Stable|Valid","Austria","at","109.70.100.73","8080",true,"tor-exit-anonymizer.appliedprivacy.net"
"right2","Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","United States of America","us","174.128.250.165","80",true,"right.usetor.wtf"
"GuyaGuya2","Exit|Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","Brazil","br","200.25.16.77","443",true,"NULL"
"Quintex13","Exit|Fast|Running|Stable|V2Dir|Valid","United States of America","us","199.249.230.103","443",true,"tor13.quintex.com"
"venenata","Fast|Running|Stable|Valid","United States of America","us","71.19.144.65","9001",true,"venenata.mutantmonkey.in"
"INSRelay42at8443","Fast|Running|Stable|V2Dir|Valid","Austria","at","140.78.100.42","8443",true,"NULL"
"BlackBeluga","Fast|HSDir|Running|Stable|V2Dir|Valid","Germany","de","5.189.155.39","9001",true,"blackbelu.ga"
"0x616e6f6e","Exit|Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","Netherlands","nl","79.110.62.244","443",true,"NULL"
"NTH22R4","Exit|Fast|Running|Stable|Valid","Netherlands","nl","192.42.116.174","9003",true,"22.tor-exit.nothingtohide.nl"
"artikel10buc27","Exit|Fast|Running|Stable|Valid","Romania","ro","185.100.85.22","9003",true,"bucarest02.tor-exit.artikel10.org"
"CapsiRelay","Running|V2Dir|Valid","Australia","au","103.115.188.171","9087",false,"cpe-171-188-115-103.cpe.matenbn.com.au"
"mharelay","Fast|Guard|Running|Stable|V2Dir|Valid","Sweden","se","158.174.145.139","9001",true,"h-158-174-145-139.A530.priv.bahnhof.se"
"ARFNETRelay","Fast|Running|V2Dir|Valid","Spain","es","2.59.235.35","9001",true,"NULL"
"l25","Fast|Running|Stable|Valid","Netherlands","nl","185.66.141.125","9001",true,"r.l25.fi"
"effiorg1984","Exit|Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","Finland","fi","89.236.112.100","443",true,"tor-jy.effi.org"
"tried","Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","United States of America","us","107.155.81.178","443",true,"NULL"
"ChumBucket","Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","Germany","de","5.9.56.249","4080",true,"static.249.56.9.5.clients.your-server.de"
"Quintex55","Exit|Fast|Running|Stable|V2Dir|Valid","United States of America","us","199.249.230.144","443",true,"tor55.quintex.com"
