"Fast|Running|Stable|V2Dir|Valid","104.53.221.159","9001"
"Exit|Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","178.218.144.18","443"
"Exit|Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","162.247.74.201","443"
"Fast|Guard|Running|Stable|V2Dir|Valid","198.98.61.11","9001"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","95.111.230.178","443"
"Fast|Running|Stable|V2Dir|Valid","195.15.242.99","9001"
"Fast|Running|V2Dir|Valid","186.104.198.145","9001"
"Exit|Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","185.220.101.33","10133"
"Fast|Guard|Running|Stable|V2Dir|Valid","51.15.75.120","444"
"Fast|Guard|Running|Stable|V2Dir|Valid","103.214.71.144","21"
"Fast|Running|V2Dir|Valid","37.16.105.85","9001"
"Fast|Guard|Running|Stable|V2Dir|Valid","109.241.214.64","443"
"Fast|Running|V2Dir|Valid","104.244.79.75","443"
"Exit|Fast|Running|Stable|Valid","109.70.100.73","8080"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","174.128.250.165","80"
"Exit|Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","200.25.16.77","443"
"Exit|Fast|Guard|Running|Stable|V2Dir|Valid","95.214.25.105","9000"
"Fast|Running|Stable|Valid","71.19.144.65","9001"
"Fast|HSDir|Running|Stable|V2Dir|Valid","140.78.100.42","8443"
"Fast|HSDir|Running|Stable|V2Dir|Valid","5.189.155.39","9001"
"Exit|Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","79.110.62.244","443"
"Exit|Fast|Running|Stable|Valid","192.42.116.174","9003"
"Exit|Fast|Running|Stable|Valid","185.100.85.22","9003"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","158.174.145.139","9001"
"Fast|HSDir|Running|Stable|V2Dir|Valid","2.59.235.35","9001"
"Fast|Running|Stable|Valid","185.66.141.125","9001"
"Fast|Running|Stable|Valid","5.75.184.204","9001"
"Exit|Fast|Running|Stable|V2Dir|Valid","45.134.225.36","443"
"Exit|Fast|Guard|Running|Stable|V2Dir|Valid","89.236.112.100","443"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","107.155.81.178","443"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","5.9.56.249","4080"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","116.203.50.182","8080"
"Fast|Guard|Running|Stable|V2Dir|Valid","51.222.31.141","443"
"Exit|Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","199.249.230.174","443"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","81.169.180.28","9001"
"Exit|Fast|Running|Stable|Valid","192.42.116.217","9002"
"Exit|Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","185.195.71.244","443"
"Exit|Fast|HSDir|Running|Stable|V2Dir|Valid","95.143.193.125","443"
"Fast|Running|V2Dir|Valid","97.70.146.13","993"
"Fast|HSDir|Running|Stable|V2Dir|Valid","100.15.126.231","9001"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","134.209.159.74","443"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","45.129.182.225","443"
"Exit|Fast|Running|V2Dir|Valid","78.142.18.219","444"
"Fast|Running|V2Dir|Valid","5.57.243.47","993"
"Fast|Running|Stable|Valid","20.224.145.181","443"
"Exit|Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","51.89.153.112","9001"
"Fast|HSDir|Running|Stable|V2Dir|Valid","5.135.182.131","9001"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","45.14.233.149","443"
